ID,N.event,Event.date,Region,Province,Municipality,River,Age class,Gender,MorphologicalZone,Corine class,Place,Distance,Density,CodScen,Solid,ReturnPeriod
3844,201872,14/10/2000,Piemonte,Torino,Torino,Stura di Lanzo,<=14,Female,Plain,33,Outdoor,0.0,0.189,H,Yes,>200
3829,201955,27/11/2002,Lombardia,Monza e della Brianza,Monza,Lambro,30-49,Male,Plain,11,River,5.0,0.139,H,na,(2-5)
3385,201510,02/06/1992,Lombardia,Varese,Castronno,Arno,50-64,Male,Plain,31,Outdoor,780.0,0.109,H,na,<2
3757,201311,27/01/1979,Lombardia,Bergamo,Brembate,Brembo,15-29,Female,Plain,11,Bridge,0.0,0.086,L,na,(2-5)
3756,201311,27/01/1979,Lombardia,Bergamo,Brembate,Brembo,15-29,Female,Plain,11,Bridge,0.0,0.086,L,na,(2-5)
3758,201311,27/01/1979,Lombardia,Bergamo,Brembate,Brembo,15-29,Female,Plain,11,Bridge,0.0,0.086,L,na,(2-5)
3760,201311,27/01/1979,Lombardia,Bergamo,Brembate,Brembo,15-29,Male,Plain,11,Bridge,0.0,0.086,L,na,(2-5)
3759,201311,27/01/1979,Lombardia,Bergamo,Brembate,Brembo,30-49,Female,Plain,11,Bridge,0.0,0.086,L,na,(2-5)
3828,203517,13/11/2000,Lombardia,Bergamo,Brembate,Brembo,30-49,Male,Plain,11,River,0.0,0.086,H,na,5
3869,201739,15/10/1996,Lombardia,Monza e della Brianza,Ceriano Laghetto,Guisa,65-74,Male,Plain,11,River,181.0,0.085,outside,na,(2-5)
2970,201561,23/09/1993,Lombardia,Cremona,Crema,Serio,15-29,Male,Plain,51,River,0.0,0.063,H,na,5
4051,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Female,Plain,14,Bridge,16.0,0.062,outside,Yes,<2
4049,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Male,Plain,14,Bridge,16.0,0.062,outside,Yes,<2
4050,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Male,Plain,14,Bridge,16.0,0.062,outside,Yes,<2
4048,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Female,Plain,14,Bridge,16.0,0.062,outside,Yes,<2
4047,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Male,Plain,14,Bridge,16.0,0.062,outside,Yes,<2
2406,201634,04/11/1994,Piemonte,Torino,Santena,Riano,>=75,Female,Plain,21,Building,7.0,0.052,H,Yes,(100-200)
2971,201552,25/09/1993,Piemonte,Torino,Banchette,Dora Baltea,65-74,Female,Plain,21,Outdoor,93.0,0.048,H,No,5
2972,201552,25/09/1993,Piemonte,Torino,Banchette,Dora Baltea,65-74,Male,Plain,21,Outdoor,93.0,0.048,H,No,5
2421,201626,04/11/1994,Piemonte,Asti,Canelli,Belbo,>=75,Female,Mountain,22,Building,35.8,0.048,L,Yes,(100-200)
2422,201626,04/11/1994,Piemonte,Asti,Canelli,Belbo,>=75,Male,Mountain,22,Building,35.8,0.048,L,Yes,(100-200)
2285,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,15-29,Male,Plain,51,Outdoor,20.3,0.045,H,Yes,>200
2393,201623,04/11/1994,Piemonte,Cuneo,Alba,Tanaro,<=14,Male,Plain,12,Building,497.0,0.042,L,Yes,(100-200)
2387,203039,04/11/1994,Piemonte,Cuneo,Alba,Tanaro,15-29,Male,Plain,12,Outdoor,0.0,0.042,H,Yes,(100-200)
2392,201623,04/11/1994,Piemonte,Cuneo,Alba,Tanaro,15-29,Female,Plain,12,Building,497.0,0.042,L,Yes,(100-200)
2394,201625,04/11/1994,Piemonte,Cuneo,Alba,Tanaro,15-29,Male,Plain,21,Building,684.0,0.042,M,Yes,(100-200)
2395,201625,04/11/1994,Piemonte,Cuneo,Alba,Tanaro,15-29,Female,Plain,21,Building,684.0,0.042,M,Yes,(100-200)
