ID,N.event,Event.date,Region,Province,Municipality,River,Age class,Gender,MorphologicalZone,Corine class,Place,Distance,Density,CodScen,Solid,ReturnPeriod
6001,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,11,River,3.7,0.032,outside,Yes,<2
6002,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,13,River,1.6,0.032,outside,Yes,<2
6003,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Male,Plain,13,River,7.5,0.062,outside,Yes,<2
6004,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,14,River,13.3,0.032,outside,Yes,<2
6005,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Male,Plain,14,River,4.8,0.054,outside,Yes,<2
6006,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,14,River,8.4,0.062,outside,Yes,<2
6007,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,>=75,Female,Plain,14,Bridge,12.7,0.032,outside,Yes,<2
6008,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,>=75,Male,Plain,24,Outdoor,23,0.062,outside,Yes,<2
6009,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,24,Outdoor,20.4,0.032,outside,Yes,<2
6010,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,24,Outdoor,21.9,0.054,outside,Yes,<2
6011,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,24,Outdoor,23.5,0.054,outside,Yes,<2
6012,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,24,Outdoor,29.6,0.032,outside,Yes,<2
6013,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Male,Plain,24,Outdoor,20.4,0.032,outside,Yes,<2
6014,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Male,Plain,31,Outdoor,17,0.054,outside,Yes,<2
6015,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Male,Plain,31,Outdoor,34,0.054,outside,Yes,<2
6016,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Male,Plain,31,River,37.8,0.062,outside,Yes,<2
6017,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Male,Plain,31,River,52.8,0.054,outside,Yes,<2
6018,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Female,Plain,31,River,39.1,0.032,outside,Yes,<2
6019,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,65-74,Male,Plain,31,River,53.4,0.189,outside,Yes,<2
6020,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,33,River,55.1,0.054,outside,Yes,<2
6021,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,33,River,49.7,0.054,outside,Yes,<2
6022,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,33,River,34.1,0.054,outside,Yes,<2
6023,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,<=14,Female,Plain,33,River,38.1,0.062,outside,Yes,<2
6024,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Female,Plain,33,River,31.3,0.032,outside,Yes,<2
6025,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Male,Plain,33,River,91.6,0.054,outside,Yes,<2
6026,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Male,Plain,33,River,88.2,0.054,outside,Yes,<2
6027,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Male,Plain,33,River,67.5,0.054,outside,Yes,<2
6028,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,15-29,Female,Plain,33,River,96.2,0.032,outside,Yes,<2
6029,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,33,River,74.3,0.054,outside,Yes,<2
6030,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,33,River,92.8,0.062,outside,Yes,<2
6031,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Male,Plain,33,River,74.1,0.062,outside,Yes,<2
6032,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Male,Plain,33,River,87.1,0.062,outside,Yes,<2
6033,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,33,River,88,0.189,outside,Yes,<2
6034,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,33,River,185.1,0.062,outside,Yes,<2
6035,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,33,River,124.4,0.189,outside,Yes,<2
6036,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Male,Plain,33,River,127.8,0.189,outside,Yes,<2
6037,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Male,Plain,33,River,134.6,0.062,outside,Yes,<2
6038,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,33,River,191.2,0.032,outside,Yes,<2
6039,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Female,Plain,33,River,158.1,0.054,outside,Yes,<2
6040,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Male,Plain,33,River,149.8,0.189,outside,Yes,<2
6041,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,30-49,Male,Plain,51,River,140,0.189,outside,Yes,<2
6042,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Female,Plain,51,River,160.3,0.032,outside,Yes,<2
6043,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,50-64,Male,Plain,51,River,187.1,0.062,outside,Yes,<2
6044,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,65-74,Male,Plain,51,River,135.4,0.032,outside,Yes,<2
6045,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,65-74,Male,Plain,51,River,195.1,0.062,outside,Yes,<2
6046,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,>=75,Male,Plain,51,River,154.2,0.189,outside,Yes,<2
6047,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,65-74,Female,Plain,51,River,335.7,0.189,outside,Yes,<2
6048,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,65-74,Female,Plain,51,Outdoor,264.5,0.054,outside,Yes,<2
6049,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,65-74,Female,Plain,51,Outdoor,314,0.189,outside,Yes,<2
6050,203562,14/07/1973,Piemonte,Torino,Venaria Reale,Stura di Lanzo,65-74,Male,Plain,51,Outdoor,227.7,0.054,outside,Yes,<2
6051,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,50-64,Female,Mountain,31,Outdoor,27.1,0.022,outside,na,<2
6052,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,50-64,Male,Mountain,21,Outdoor,44.5,0.022,outside,na,<2
6053,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,50-64,Male,Mountain,21,Outdoor,49.3,0.029,outside,na,<2
6054,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,30-49,Male,Mountain,31,Outdoor,34.1,0.009,outside,na,<2
6055,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,30-49,Male,Mountain,21,Outdoor,16.7,0.022,outside,na,<2
6056,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,15-29,Female,Mountain,21,Outdoor,35.7,0.022,outside,na,<2
6057,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,15-29,Male,Mountain,31,Outdoor,34.3,0.009,outside,na,<2
6058,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,<=14,Male,Mountain,21,Outdoor,75.8,0.029,outside,na,<2
6059,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,65-74,Male,Mountain,24,Outdoor,71.5,0.029,outside,na,<2
6060,203125,11/6/2011,Emilia-Romagna,Parma,Sala Baganza,Scodogna,65-74,Male,Mountain,21,Outdoor,74.1,0.009,outside,na,<2
6061,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,30-49,Male,Mountain,11,Outdoor,5.4,0.023,L,Yes,>200
6062,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,30-49,Male,Mountain,21,River,50,0.023,L,Yes,>200
6063,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,30-49,Female,Mountain,21,Outdoor,134.2,0.023,L,Yes,>200
6064,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,30-49,Male,Mountain,21,Outdoor,356.9,0.028,M,Yes,>200
6065,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,30-49,Male,Mountain,21,Building,429.1,0.028,L,Yes,>200
6066,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,50-64,Female,Mountain,21,Building,884.6,0.05,L,Yes,>200
6067,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,<=14,Male,Mountain,23,Building,124.2,0.05,L,Yes,>200
6068,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,<=14,Female,Mountain,23,Building,392.6,0.05,L,Yes,>200
6069,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,15-29,Female,Mountain,24,Building,469.7,0.05,L,Yes,>200
6070,201425,18/07/1987,Lombardia,Sondrio,Morbegno,Adda,15-29,Female,Mountain,24,Building,359.3,0.05,L,Yes,>200
6071,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,50-64,Male,Mountain,23,River,5.8,0.002,H,Yes,>200
6072,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,50-64,Male,Mountain,31,River,25.2,0.005,H,Yes,>200
6073,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,50-64,Female,Mountain,31,River,42.9,0.005,H,Yes,>200
6074,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,65-74,Male,Mountain,31,River,80.3,0.005,H,Yes,>200
6075,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,65-74,Female,Mountain,31,River,277.8,0.005,H,Yes,>200
6076,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,<=14,Female,Mountain,31,Outdoor,2.3,0.006,H,Yes,>200
6077,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,15-29,Male,Mountain,31,Outdoor,3.9,0.006,H,Yes,>200
6078,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,30-49,Female,Mountain,31,Outdoor,35.6,0.006,H,Yes,>200
6079,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,30-49,Female,Mountain,31,Building,42,0.006,H,Yes,>200
6080,203316,18/07/1987,Lombardia,Bergamo,Mezzoldo,Adda,50-64,Female,Mountain,31,Building,68.9,0.006,H,Yes,>200
6081,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,>=75,Female,Mountain,31,Outdoor,6,0.002,outside,Yes,>200
6082,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,65-74,Female,Mountain,23,Outdoor,29.3,0.005,outside,Yes,>200
6083,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,<=14,Male,Mountain,31,Outdoor,31.5,0.006,outside,Yes,>200
6084,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,50-64,Female,Mountain,31,Building,0,0.002,outside,Yes,>200
6085,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,50-64,Male,Mountain,31,Building,129.2,0.005,outside,Yes,>200
6086,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,50-64,Female,Mountain,31,Outdoor,4.9,0.005,outside,Yes,>200
6087,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,15-29,Female,Mountain,23,Outdoor,3,0.005,outside,Yes,>200
6088,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,65-74,Female,Mountain,31,Building,139.7,0.002,outside,Yes,>200
6089,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,30-49,Male,Mountain,31,Outdoor,148,0.005,outside,Yes,>200
6090,203315,18/07/1987,Lombardia,Bergamo,Piazzatorre, Adda,>=75,Male,Mountain,31,Outdoor,55.5,0.005,outside,Yes,>200
6091,201426,18/07/1987,Lombardia,Bergamo,Mezzoldo,Tributary of Brembo,50-64,Male,Mountain,23,Outdoor,20,0.002,outside,Yes,>200
6092,201426,18/07/1987,Lombardia,Bergamo,Mezzoldo,Tributary of Brembo,30-49,Male,Mountain,31,River,26.1,0.006,outside,Yes,>200
6093,201426,18/07/1987,Lombardia,Bergamo,Mezzoldo,Tributary of Brembo,50-64,Male,Mountain,23,River,17,0.005,outside,Yes,>200
